Date,ID,Title,Artist,Pageviews,,
16/08/2021,7109860,Royal Road,Bishop Delgado,,,
16/08/2021,7109857,Champion (Summer 2021 LEC Playoffs Anthem),LUM!X,,,
16/08/2021,7109856,Floating Empty (feat. Lynch),Rob Steven,,,
16/08/2021,7107615,Let’s Go,K!ds N3xt Døør,,,
16/08/2021,7109852,Everything Can Wait,Mary-jess,,,
16/08/2021,7109844,​go ku,1dada4ever,,,
16/08/2021,7109851,Ashra,Ricky Mortal,,,
16/08/2021,7109850,Attention!!,Itz_Herrr,,,
16/08/2021,7109849,Only You,Collars (UK),,,
16/08/2021,7055167,AKBフェスティヿル (AKB Festival),ヿーム サプライズ (Team Surprise),,,
16/08/2021,7109848,Beautiful Force,Mary-jess,,,
16/08/2021,7109847,Desamparado,Bishop Delgado,,,
16/08/2021,7109800,Can’t you just be mine?- Remix,Angelina Michaels,,,
16/08/2021,7109846,Love At First Fright,Frankenstein Drag Queens From Planet 13,,,
16/08/2021,7101591,I Don’t Mind,Kloudink,,,
16/08/2021,7109845,Hello Hooray,Frankenstein Drag Queens From Planet 13,,,
16/08/2021,7109843,Bye, bye (vou-me divertir) - Bulllet Knock Remix,,,
16/08/2021,7096006,Stray Kids - 좋아해서 미안 (Sorry, I Love You) (Traducción al Español),,,
16/08/2021,7109842,I Wanna Be Your Dog,Frankenstein Drag Queens From Planet 13,,,
16/08/2021,6311140,Tony Soprano,RGZUS,,,
16/08/2021,7109841,Dueles Tan Bien,Bruses,,,
16/08/2021,7109840,Dawn Of The Dead,Frankenstein Drag Queens From Planet 13,,,
16/08/2021,6859335,Diamonds,Ace OG,,,
16/08/2021,7109837,Мана 2 (Mana 2),Supa sKKinny,,,
16/08/2021,7109836,Flannel Mouth,Bishop Delgado,,,
16/08/2021,7109830,水橋 㿋㿊り (Kaori Mizuhashi) - dark cherry mystery (Romanized),Genius Romanizations,,,
16/08/2021,6319906,Half Empty,Sincerely,,,
16/08/2021,7109828,Jeremiah,Collars (UK),,,
16/08/2021,7109826,Интернет Любовь (Internet love),Supa sKKinny,,,
16/08/2021,7109825,Resist Your Love,Offrami,,,
16/08/2021,7109824,Fox On The Run,Frankenstein Drag Queens From Planet 13,,,
