Date,ID,Title,Artist,Ranking
21/07/2021,573386652,Bad Habits,Ed Sheeran,1
21/07/2021,537255883,Essence,Wizkid Feat. Tems,2
21/07/2021,565106878,Kiss Me More,Doja Cat Feat. SZA,3
21/07/2021,508501557,HEARTBREAK ANNIVERSARY,GIV?ON,4
21/07/2021,552221348,Stay,The Kid LAROI & Justin Bieber,5
21/07/2021,570428002,We Win (Space Jam: A New Legacy),Lil Baby & Kirk Franklin,6
21/07/2021,564095960,good 4 u,Olivia Rodrigo,7
21/07/2021,571007966,Leave Before You Love Me,Marshmello & Jonas Brothers,8
21/07/2021,572701645,Late At Night,Roddy Ricch,9
21/07/2021,573239715,You Right (Extended),Doja Cat & The Weeknd,10
21/07/2021,542730886,telepatï¿½Kali Uchis,11,
21/07/2021,514260283,Heat Waves,Glass Animals,12
21/07/2021,563288858,You,"Regard, Troye Sivan & Tate McRae",13
21/07/2021,568200861,EVERY CHANCE I GET [Mixed],DJ Khaled Feat. Lil Baby & Lil Durk,14
21/07/2021,564094803,deja vu,Olivia Rodrigo,15
21/07/2021,385334817,Beggin,Må®¥skin,16
21/07/2021,564361520,RAPSTAR,Polo G,17
21/07/2021,540976295,Lil Bit,Nelly & Florida Georgia Line,18
21/07/2021,546919515,WHOLE LOTTA MONEY,BIA,19
21/07/2021,560275260,Leave The Door Open,"Bruno Mars, Anderson .Paak & Silk Sonic",20
21/07/2021,569990487,I Like Dat,T-Pain & Kehlani,21
21/07/2021,552136231,GYALIS,Capella Grey,22
21/07/2021,573239739,Need To Know,Doja Cat,23
21/07/2021,538322038,Levitating,Dua Lipa Feat. DaBaby,24
21/07/2021,575061784,Pepas,Farruko,25
21/07/2021,574799712,Smells Like Teen Spirit,Malia J,26
21/07/2021,570187620,Todo De Ti,Rauw Alejandro,27
21/07/2021,570413102,m y . l i f e,"J. Cole, 21 Savage & Morray",28
21/07/2021,573286436,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",29
21/07/2021,576945894,Motley Crew,Post Malone,30
21/07/2021,556102751,MONTERO (Call Me By Your Name),Lil Nas X,31
