Date,ID,Title,Artist,ISRC,Playcount,,
22/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,1426883,,
22/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,480553,,
22/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,441479,,
22/07/2021,1088499046,Pop Smoke - More Time,POP SMOKE,,363765,,
22/07/2021,1088499322,Pop Smoke - Woo Baby (feat. Chris Brown),POP SMOKE,,428000,,
22/07/2021,1088499232,Pop Smoke - Merci Beaucoup,POP SMOKE,,342052,,
22/07/2021,1083312043,MATERIALISM AS A MEANS TO AN END,$UICIDEBOY$,,389065,,
22/07/2021,1088500051,Pop Smoke - Tell The Vision (feat. Kanye West & Pusha T),POP SMOKE,,322178,,
22/07/2021,1088500204,Pop Smoke - Brush Em (feat. Rah Swish),POP SMOKE,,314531,,
22/07/2021,1088500420,Pop Smoke - Beat The Speaker,POP SMOKE,,305492,,
22/07/2021,1088088901,Gyalis (Remix),A BOOGIE WIT DA HOODIE,,222728,,
22/07/2021,1089099313,Teen Bean,Ken Carson,,220476,,
22/07/2021,1088500522,Pop Smoke - Manslaughter (feat. Rick Ross & The-Dream),POP SMOKE,,287168,,
22/07/2021,1088712469,"Pop Smoke, Lil Tjay, Swae Lee - Genius",POP SMOKE,,276812,,
22/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,418133,,
22/07/2021,1088498722,Pop Smoke - Coupe,POP SMOKE,,257102,,
22/07/2021,1088500348,Pop Smoke - Mr. Jones (feat. Future),POP SMOKE,,262386,,
22/07/2021,1088499034,Pop Smoke - Back Door (feat. Quavo & Kodak Black),POP SMOKE,,240534,,
22/07/2021,1088499901,Pop Smoke - Whats Crackin (feat. Takeoff),POP SMOKE,,240561,,
22/07/2021,1088500150,Pop Smoke - Demeanor (feat. Dua Lipa),POP SMOKE,,244593,,
22/07/2021,1088498749,Pop Smoke - Spoiled (feat. Pharrell),POP SMOKE,,191369,,
22/07/2021,1088712565,"Pop Smoke, The Neptunes - Top Shotta (feat. Pusha T, TRAVI & Beam)",POP SMOKE,,182937,,
22/07/2021,1088498686,Pop Smoke - Good News,POP SMOKE,,163131,,
22/07/2021,1088501122,Pop Smoke - 8-Ball (feat. Kid Cudi),POP SMOKE,,169127,,
22/07/2021,1088498734,Pop Smoke - Woo Baby Interlude,POP SMOKE,,137272,,
22/07/2021,1088272225,Toosii - head over hills,Toosii,,150468,,
22/07/2021,1086870616,REPARATIONS! (Extended) [prod. Milanezie],KA$HDAMI,,147630,,
22/07/2021,1086195169,MIA,ssgkobe,,289991,,
22/07/2021,1088511160,ANY MEANS,2Floody,,101376,,
22/07/2021,1088882044,Problem Solvin,Lil Mosey,,89220,,
22/07/2021,1090451293,Kodak Black - Senseless,rapcomeup,,356609,,
22/07/2021,1088835961,Lurkin 2.0 - Funk Flex X King Von(feat. Polo G)(Remix),Adam Schkolnick,,71851,,
22/07/2021,1089519352,Ice box / 99 Problems (Prod. EvilGiane),Pasto Flocco,,32119,,
22/07/2021,1087550068,Act Up (Prod. JO$HTXYI),Kaine,,84223,,
22/07/2021,1086909592,Megalodon (Prod. Astroboy),DC The Don,,90914,,
22/07/2021,1086815260,AVERAGE! [prod. 1kSensei + fwthis1will + Milanezie],KA$HDAMI,,84994,,
22/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,1176857,,
22/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2404415,,
22/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,436916,,
22/07/2021,1088515609,Lil Gnar - No Regular,LIL GNAR,,56871,,
22/07/2021,1084381669,Motley Crew,Post Malone,,645067,,
22/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,673655,,
22/07/2021,1089613903,p벣tivated,Yeat,,null,,
22/07/2021,1088424214,Yung Nigga Shit (feat. YNW Gunna & Hotboii),YNW Melly,,43609,,
22/07/2021,1090435933,"Monster! (prod. Maajins, Cgm)",Autumn! (Twinuzis),,41045,,
22/07/2021,1088512438,Blxst & Bino Rideaux - Pop Out,Blxst,,32868,,
22/07/2021,1086999838,The World is Yours,Slimesito,,77405,,
22/07/2021,1088699779,NOBODY,ZMG,,46467,,
22/07/2021,1088351158,HOUDINI,LESANE,,40307,,
22/07/2021,1090257544,Permission To Dance - BTS - Performance,quanghuy,,6630,,
22/07/2021,1088400013,On Tour,Tay Ball,,29680,,
22/07/2021,1088989591,Pop smoke - top shotta ft. Eli fross (ORIGINAL),Daydayyy,,18780,,
22/07/2021,1087009036,LLC,Money Man,,72465,,
22/07/2021,1086999472,Demon,Slimesito,,67165,,
22/07/2021,1088512369,Blxst & Bino Rideaux - Program,Blxst,,26457,,
22/07/2021,1087658602,Magic Stick,YN Jay,,29468,,
22/07/2021,1086379378,Not A Love Song,Pyrex Pryce,,40240,,
22/07/2021,1088512393,Blxst & Bino Rideaux - Might Do Well,Blxst,,25592,,
22/07/2021,1088512342,Blxst & Bino Rideaux - One Of Them Ones,Blxst,,25714,,
22/07/2021,1088687179,Royal Rumble (Prod. JO$HTXYI),Kaine,,24646,,
22/07/2021,1088938156,DANCE! FT. WASSUP ROCKER & CISCAUX (prod. okayjml & dustin)*NOW ON ALL PLATS*,?1nonly? (@n8thanfuller),,49144,,
22/07/2021,1087282882,"Funk Flex, King Von, Polo G - Lurkin (feat. Polo G) (Remix)",Funk Flex,,54990,,
22/07/2021,1088512231,Blxst & Bino Rideaux - Stressful,Blxst,,23196,,
22/07/2021,1088512282,Blxst & Bino Rideaux - Hate How Much,Blxst,,22768,,
22/07/2021,1087269541,295 SIDHU,MOOSETAPE,,371401,,
22/07/2021,1088512210,Blxst & Bino Rideaux - Time Will Only Tell,Blxst,,24107,,
22/07/2021,1088512318,Blxst & Bino Rideaux - Accountable,Blxst,,21729,,
22/07/2021,1086999655,Ocean flow ft Trippie Redd,Slimesito,,49780,,
22/07/2021,1086999211,Bad boy,Slimesito,,49691,,
22/07/2021,1085558044,my potna dem - $ilk money,kodzuken,,165788,,
22/07/2021,1085005684,Yvngxchris - Blood On The Leaves,ARCHANGEL,,224022,,
22/07/2021,1088512189,Blxst & Bino Rideaux - Beginning To The Ending,Blxst,,20980,,
22/07/2021,1086999250,Uncle Fulo,Slimesito,,47587,,
22/07/2021,1088512276,Blxst & Bino Rideaux - She Perfect,Blxst,,20707,,
22/07/2021,1088229352,Ap Dhillon - Ma Belle (Official Audio),Ap Dhillon,,208617,,
22/07/2021,1089504526,Juice WRLD - Lovers Lane,Zen WRLD,,26188,,
22/07/2021,1090232725,Boosie & Webbie (Prod. ChrisSaves),Kaine,,13232,,
22/07/2021,1088512420,Blxst & Bino Rideaux - Movie,Blxst,,20592,,
22/07/2021,1086999175,Hurricane,Slimesito,,47544,,
22/07/2021,1086999892,Living to Slime,Slimesito,,43640,,
22/07/2021,1087772329,Juice WRLD- Adore You (CDQ Remaster Unreleased),WRLD of Juice Vault,,33331,,
22/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,1150931,,
22/07/2021,1088716336,King Von & Polo G - Lurkin 2.0,Polo G,,41197,,
22/07/2021,1089856579,Heart Clean,Tay Ball,,16867,,
22/07/2021,1085438422,M&M,Ken Carson,,170557,,
22/07/2021,1085991019,The Kid LAROI & Justin Bieber - STAY (Colin Hennerz remix),Colin Hennerz | EXTRAS,,154016,,
22/07/2021,1085397379,How I Been,Lil Mosey,,170769,,
22/07/2021,1088512252,Blxst & Bino Rideaux - What Is It,Blxst,,17228,,
