Date,ID,Title,Artist,ISRC,Rank,,
22/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,1,,
22/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,2,,
22/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,3,,
22/07/2021,1088499046,Pop Smoke - More Time,POP SMOKE,,4,,
22/07/2021,1088499322,Pop Smoke - Woo Baby (feat. Chris Brown),POP SMOKE,,5,,
22/07/2021,1088499232,Pop Smoke - Merci Beaucoup,POP SMOKE,,6,,
22/07/2021,1083312043,MATERIALISM AS A MEANS TO AN END,$UICIDEBOY$,,7,,
22/07/2021,1088500051,Pop Smoke - Tell The Vision (feat. Kanye West & Pusha T),POP SMOKE,,8,,
22/07/2021,1088500204,Pop Smoke - Brush Em (feat. Rah Swish),POP SMOKE,,9,,
22/07/2021,1088500420,Pop Smoke - Beat The Speaker,POP SMOKE,,10,,
22/07/2021,1088088901,Gyalis (Remix),A BOOGIE WIT DA HOODIE,,11,,
22/07/2021,1089099313,Teen Bean,Ken Carson,,12,,
22/07/2021,1088500522,Pop Smoke - Manslaughter (feat. Rick Ross & The-Dream),POP SMOKE,,13,,
22/07/2021,1088712469,"Pop Smoke, Lil Tjay, Swae Lee - Genius",POP SMOKE,,14,,
22/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,15,,
22/07/2021,1088498722,Pop Smoke - Coupe,POP SMOKE,,16,,
22/07/2021,1088500348,Pop Smoke - Mr. Jones (feat. Future),POP SMOKE,,17,,
22/07/2021,1088499034,Pop Smoke - Back Door (feat. Quavo & Kodak Black),POP SMOKE,,18,,
22/07/2021,1088499901,Pop Smoke - Whats Crackin (feat. Takeoff),POP SMOKE,,19,,
22/07/2021,1088500150,Pop Smoke - Demeanor (feat. Dua Lipa),POP SMOKE,,20,,
22/07/2021,1088498749,Pop Smoke - Spoiled (feat. Pharrell),POP SMOKE,,21,,
22/07/2021,1088712565,"Pop Smoke, The Neptunes - Top Shotta (feat. Pusha T, TRAVI & Beam)",POP SMOKE,,22,,
22/07/2021,1088498686,Pop Smoke - Good News,POP SMOKE,,23,,
22/07/2021,1088501122,Pop Smoke - 8-Ball (feat. Kid Cudi),POP SMOKE,,24,,
22/07/2021,1088498734,Pop Smoke - Woo Baby Interlude,POP SMOKE,,25,,
22/07/2021,1088272225,Toosii - head over hills,Toosii,,26,,
22/07/2021,1086870616,REPARATIONS! (Extended) [prod. Milanezie],KA$HDAMI,,27,,
22/07/2021,1086195169,MIA,ssgkobe,,28,,
22/07/2021,1088511160,ANY MEANS,2Floody,,29,,
22/07/2021,1088882044,Problem Solvin,Lil Mosey,,30,,
22/07/2021,1090451293,Kodak Black - Senseless,rapcomeup,,31,,
22/07/2021,1088835961,Lurkin 2.0 - Funk Flex X King Von(feat. Polo G)(Remix),Adam Schkolnick,,32,,
22/07/2021,1089519352,Ice box / 99 Problems (Prod. EvilGiane),Pasto Flocco,,33,,
22/07/2021,1087550068,Act Up (Prod. JO$HTXYI),Kaine,,34,,
22/07/2021,1086909592,Megalodon (Prod. Astroboy),DC The Don,,35,,
22/07/2021,1086815260,AVERAGE! [prod. 1kSensei + fwthis1will + Milanezie],KA$HDAMI,,36,,
22/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,37,,
22/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,38,,
22/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,39,,
22/07/2021,1088515609,Lil Gnar - No Regular,LIL GNAR,,40,,
