Date,ID,Title,Artist,ISRC,Comments,,
22/07/2021,1056306229,Touchable,Remble,,2917,,
22/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2353,,
22/07/2021,1026185437,2055,Sleepy Hallow,,3317,,
22/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,26591,,
22/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,2553,,
22/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,5459,,
22/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,2884,,
22/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,694,,
22/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,10123,,
22/07/2021,1056690214,Tell Em,cochise,,7905,,
22/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,2744,,
22/07/2021,1034990764,Wockesha,MoneyBagg Yo,,3783,,
22/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,21486,,
22/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,21879,,
22/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,7820,,
22/07/2021,1061728813,Late At Night,Roddy Ricch,,1728,,
22/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,3801,,
22/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,1255,,
22/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,28886,,
22/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,2851,,
22/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,8973,,
22/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,1621,,
22/07/2021,1067887690,DDG - ICarly Freestyle,D40,,533,,
22/07/2021,1075291135,Cabo,BANKROL HAYDEN,,861,,
22/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,41237,,
22/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,4725,,
22/07/2021,1060725346,"Lil Baby, Lil Durk, Meek Mill - Still Runnin",Lil Baby,,1711,,
22/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,541,,
22/07/2021,1013619421,Tombstone,Rod Wave,,11295,,
22/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,16389,,
22/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,1148,,
22/07/2021,1060725400,"Lil Baby, Lil Durk, Travis Scott - Hats Off",Lil Baby,,1912,,
22/07/2021,1064620738,Polo G - Toxic,POLO G,,1390,,
22/07/2021,816595933,Polo G - Martin & Gina,POLO G,,34456,,
22/07/2021,743999932,9 Times Out Of 10 (feat. Lil Baby),Big Havi,,4212,,
22/07/2021,1074518497,"Tyler, The Creator feat. YoungBoy Never Broke Again and Ty Dolla $ign - WUSYANAME","Tyler, The Creator",,2165,,
22/07/2021,729604123,\,LUCKY3RD,,2671,,
22/07/2021,937006552,Lil Baby - On Me,Lil Baby,,17420,,
22/07/2021,1052667649,"Switch it Up (feat. G Herbo, No More Heroes)",Pooh Shiesty,,948,,
22/07/2021,1056040759,ft OGbobbybillions \,blueface,,2184,,
22/07/2021,1035859378,Final Warning,NLE Choppa,,4816,,
22/07/2021,1064621482,Polo G feat. The Kid LAROI & Lil Durk - No Return,POLO G,,2526,,
22/07/2021,959517559,GYALIS - CAPELLA GREY (prod. by CAPELLA GREY),Allepac Family,,485,,
22/07/2021,1019737993,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,Yungeen Ace,,10788,,
22/07/2021,1048532914,White Teeth,YoungBoy Never Broke Again,,5377,,
22/07/2021,975542488,Pain,pinkpantheress,,3278,,
22/07/2021,373180994,All Girls Are The Same,Juice WRLD,,85573,,
22/07/2021,840323260,CEO Trayle - Ok Cool (Prod. by Rudynovski),Q.,,206,,
22/07/2021,998923204,Only The Family & Lil Durk - Hellcats & Trackhawks,Lil Durk,,4970,,
22/07/2021,922916881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI.,,8796,,
22/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,411,,
22/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,364,,
22/07/2021,634533960,SOLVED THE PROBLEM,COMETHAZINE,,4928,,
22/07/2021,312797091,From The D To The A feat. Lil Yachty,Tee Grizzley,,18770,,
22/07/2021,1064620216,Polo G - Black Hearted,POLO G,,1540,,
22/07/2021,855569809,HIM.,Jaywall,,2900,,
