Date,ID,Title,Artist,ISRC,Likes,,
22/07/2021,1056306229,Touchable,Remble,,127476,,
22/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,58648,,
22/07/2021,1026185437,2055,Sleepy Hallow,,146983,,
22/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,558529,,
22/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,61741,,
22/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,209068,,
22/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,126877,,
22/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,44721,,
22/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,285716,,
22/07/2021,1056690214,Tell Em,cochise,,153960,,
22/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,75070,,
22/07/2021,1034990764,Wockesha,MoneyBagg Yo,,200008,,
22/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,381088,,
22/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,524995,,
22/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,245104,,
22/07/2021,1061728813,Late At Night,Roddy Ricch,,104657,,
22/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,147566,,
22/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,72762,,
22/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,556816,,
22/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,105415,,
22/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,568614,,
22/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,105954,,
22/07/2021,1067887690,DDG - ICarly Freestyle,D40,,23747,,
22/07/2021,1075291135,Cabo,BANKROL HAYDEN,,31014,,
22/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,599199,,
22/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,96557,,
22/07/2021,1060725346,"Lil Baby, Lil Durk, Meek Mill - Still Runnin",Lil Baby,,84839,,
22/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,42279,,
22/07/2021,1013619421,Tombstone,Rod Wave,,285868,,
22/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,263636,,
22/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,31730,,
22/07/2021,1060725400,"Lil Baby, Lil Durk, Travis Scott - Hats Off",Lil Baby,,83952,,
22/07/2021,1064620738,Polo G - Toxic,POLO G,,64749,,
22/07/2021,816595933,Polo G - Martin & Gina,POLO G,,613534,,
22/07/2021,743999932,9 Times Out Of 10 (feat. Lil Baby),Big Havi,,219413,,
22/07/2021,1074518497,"Tyler, The Creator feat. YoungBoy Never Broke Again and Ty Dolla $ign - WUSYANAME","Tyler, The Creator",,63113,,
22/07/2021,729604123,\,LUCKY3RD,,91948,,
22/07/2021,937006552,Lil Baby - On Me,Lil Baby,,384011,,
22/07/2021,1052667649,"Switch it Up (feat. G Herbo, No More Heroes)",Pooh Shiesty,,50986,,
22/07/2021,1056040759,ft OGbobbybillions \,blueface,,85643,,
22/07/2021,1035859378,Final Warning,NLE Choppa,,120512,,
22/07/2021,1064621482,Polo G feat. The Kid LAROI & Lil Durk - No Return,POLO G,,84459,,
22/07/2021,959517559,GYALIS - CAPELLA GREY (prod. by CAPELLA GREY),Allepac Family,,41579,,
22/07/2021,1019737993,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,Yungeen Ace,,209045,,
22/07/2021,1048532914,White Teeth,YoungBoy Never Broke Again,,169026,,
22/07/2021,975542488,Pain,pinkpantheress,,97029,,
22/07/2021,373180994,All Girls Are The Same,Juice WRLD,,1892214,,
22/07/2021,840323260,CEO Trayle - Ok Cool (Prod. by Rudynovski),Q.,,34988,,
22/07/2021,998923204,Only The Family & Lil Durk - Hellcats & Trackhawks,Lil Durk,,186546,,
22/07/2021,922916881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI.,,193770,,
22/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,18628,,
22/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,13142,,
22/07/2021,634533960,SOLVED THE PROBLEM,COMETHAZINE,,194758,,
22/07/2021,312797091,From The D To The A feat. Lil Yachty,Tee Grizzley,,1688254,,
22/07/2021,1064620216,Polo G - Black Hearted,POLO G,,67931,,
22/07/2021,855569809,HIM.,Jaywall,,133948,,
22/07/2021,1072829350,NLE Choppa -  Letter To My Daughter,Rocknroll,,15396,,
22/07/2021,1019246533,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,,101786,,
22/07/2021,1055542654,T-wayne - Player,T-wayne,,27844,,
22/07/2021,1060249351,"Lil Baby, Lil Durk - How It Feels",Lil Baby,,62125,,
22/07/2021,878028175,Moonwalking in Calabasas (Remix) [feat. Blueface],DDG,,184287,,
22/07/2021,763890439,Took Her To The O,King Von,,600571,,
22/07/2021,1042589146,Lil Tecca - Never Left,Lil Tecca ?,,124091,,
22/07/2021,1081335103,$ILKMONEY - MY POTNA DEM,jalele2Raww ?,,31052,,
22/07/2021,1052248927,Polo G & Lil Wayne - GANG GANG (with Lil Wayne),POLO G,,107294,,
22/07/2021,952032571,Still Trappin' w/ King Von,Lil Durk,,265558,,
22/07/2021,984680650,No Hoodie,Curly J,,38930,,
22/07/2021,1003330801,Street Runner,Rod Wave,,212717,,
22/07/2021,1010766649,MO3 & OG Bobby Billions - Outside,Mo3,,72241,,
22/07/2021,1052668531,24 Hours (feat. Lil Durk),A BOOGIE WIT DA HOODIE,,72533,,
22/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,23160,,
22/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,21992,,
22/07/2021,1048163956,good 4 u,Olivia Rodrigo,,147725,,
22/07/2021,1009475770,Headshot,Lil Tjay,,187432,,
22/07/2021,690770410,Bandit ft. NBA Youngboy,Juice WRLD,,1509543,,
22/07/2021,1084381669,Motley Crew,Post Malone,,22235,,
22/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,24697,,
22/07/2021,850506619,Pop Smoke - What You Know Bout Love,POP SMOKE,,585130,,
22/07/2021,1052735683,Maybach (feat. Future),42 Dugg,,46675,,
22/07/2021,783914911,"Rvssian, Lil Mosey, Lil Tjay - Only The Team (with Lil Mosey & Lil Tjay)",Rvssian,,271094,,
22/07/2021,850507126,Pop Smoke - For The Night (feat. Lil Baby & DaBaby),POP SMOKE,,869679,,
22/07/2021,339318387,XXXTENTACION - Fuck Love  (feat. Trippie Redd),XXXTENTACION,,2900118,,
22/07/2021,977984449,DUSTY LOCANE - ROLLIN N CONTROLLIN FREESTYLE (TikTok) I walk in the spot 30 on me and some chops,Reelaxxx,,51926,,
22/07/2021,1077630940,Cry No More,G Herbo,,27483,,
22/07/2021,482681907,Lil Uzi Vert - Top,Trackaholics,,338960,,
22/07/2021,229787464,Gassed Up,Nebu Kiniza,,1767533,,
22/07/2021,1060248796,"Lil Baby, Lil Durk - Okay",Lil Baby,,43441,,
22/07/2021,920782135,Chanel Bag Prod. @geehues x @1yeezo,KILLBUNK (@killbunk),,93570,,
22/07/2021,760419946,Me and My Guitar,A BOOGIE WIT DA HOODIE,,356085,,
22/07/2021,579632454,NLE Choppa X White $osa-Hit The Scene(Official Audio),Str8Bangerz Hit's,,437046,,
22/07/2021,969004966,NBA YoungBoy - Walk In The Rain,ABOVE ALL,,16461,,
22/07/2021,646792641,"Clever - All In (feat. Polo G, G Herbo)",Clever,,162180,,
22/07/2021,373181102,DARK PLACE (demo),Juice WRLD,,185066,,
22/07/2021,1066159183,Thot Shit,Megan Thee Stallion,,62456,,
22/07/2021,656255261,Pop Smoke - Dior,POP SMOKE,,982632,,
22/07/2021,1066292437,Feelin' Peachy,Kodak Black,,39433,,
22/07/2021,1007053408,Trendsetter (Prod. RAN),Yvng Tella,,39093,,
22/07/2021,574858791,Robbery,Juice WRLD,,1617555,,
22/07/2021,973586695,Time Today,MoneyBagg Yo,,146798,,
23/07/2021,1056306229,Touchable,Remble,,131638,,
23/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,61731,,
23/07/2021,1026185437,2055,Sleepy Hallow,,150733,,
23/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,559722,,
23/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,69230,,
23/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,210452,,
23/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,128255,,
23/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,47481,,
23/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,286574,,
23/07/2021,1056690214,Tell Em,cochise,,155245,,
23/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,76504,,
23/07/2021,1034990764,Wockesha,MoneyBagg Yo,,200983,,
23/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,382302,,
23/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,525598,,
23/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,245975,,
23/07/2021,1061728813,Late At Night,Roddy Ricch,,105960,,
23/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,148375,,
23/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,73840,,
23/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,557498,,
23/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,105487,,
23/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,569032,,
23/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,106454,,
23/07/2021,1067887690,DDG - ICarly Freestyle,D40,,24710,,
23/07/2021,1075291135,Cabo,BANKROL HAYDEN,,32708,,
23/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,599844,,
23/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,97561,,
23/07/2021,1060725346,Lil Baby, Lil Durk,, Meek Mill - Still Runnin,Lil Baby,85415
23/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,42725,,
23/07/2021,1013619421,Tombstone,Rod Wave,,286444,,
23/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,264426,,
23/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,32444,,
23/07/2021,1060725400,Lil Baby, Lil Durk,, Travis Scott - Hats Off,Lil Baby,84749
