Date,ID,Title,Artist,ISRC,Playcount,,
22/07/2021,1056306229,Touchable,Remble,,5369986,,
22/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2404106,,
22/07/2021,1026185437,2055,Sleepy Hallow,,8638931,,
22/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,41979734,,
22/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,1426203,,
22/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,11560521,,
22/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,5821914,,
22/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,1176716,,
22/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,17183212,,
22/07/2021,1056690214,Tell Em,cochise,,7342433,,
22/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,2542072,,
22/07/2021,1034990764,Wockesha,MoneyBagg Yo,,10156741,,
22/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,20464611,,
22/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,36977246,,
22/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,15998144,,
22/07/2021,1061728813,Late At Night,Roddy Ricch,,4130453,,
22/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,8666681,,
22/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,2353283,,
22/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,36354790,,
22/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,4350110,,
22/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,65949179,,
22/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,11469938,,
22/07/2021,1067887690,DDG - ICarly Freestyle,D40,,1928994,,
22/07/2021,1075291135,Cabo,BANKROL HAYDEN,,1325281,,
22/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,50772085,,
22/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,4532982,,
22/07/2021,1060725346,"Lil Baby, Lil Durk, Meek Mill - Still Runnin",Lil Baby,,3866914,,
22/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,3130132,,
22/07/2021,1013619421,Tombstone,Rod Wave,,19168492,,
22/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,16126059,,
22/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,1150815,,
22/07/2021,1060725400,"Lil Baby, Lil Durk, Travis Scott - Hats Off",Lil Baby,,3845589,,
22/07/2021,1064620738,Polo G - Toxic,POLO G,,2914934,,
22/07/2021,816595933,Polo G - Martin & Gina,POLO G,,52854081,,
22/07/2021,743999932,9 Times Out Of 10 (feat. Lil Baby),Big Havi,,23911728,,
22/07/2021,1074518497,"Tyler, The Creator feat. YoungBoy Never Broke Again and Ty Dolla $ign - WUSYANAME","Tyler, The Creator",,2242059,,
22/07/2021,729604123,\,LUCKY3RD,,8086389,,
22/07/2021,937006552,Lil Baby - On Me,Lil Baby,,28024776,,
22/07/2021,1052667649,"Switch it Up (feat. G Herbo, No More Heroes)",Pooh Shiesty,,2400757,,
22/07/2021,1056040759,ft OGbobbybillions \,blueface,,4359382,,
22/07/2021,1035859378,Final Warning,NLE Choppa,,6615134,,
22/07/2021,1064621482,Polo G feat. The Kid LAROI & Lil Durk - No Return,POLO G,,3813777,,
22/07/2021,959517559,GYALIS - CAPELLA GREY (prod. by CAPELLA GREY),Allepac Family,,2097231,,
22/07/2021,1019737993,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,Yungeen Ace,,12094964,,
22/07/2021,1048532914,White Teeth,YoungBoy Never Broke Again,,10867650,,
22/07/2021,975542488,Pain,pinkpantheress,,4202190,,
22/07/2021,373180994,All Girls Are The Same,Juice WRLD,,188874514,,
22/07/2021,840323260,CEO Trayle - Ok Cool (Prod. by Rudynovski),Q.,,1398734,,
22/07/2021,998923204,Only The Family & Lil Durk - Hellcats & Trackhawks,Lil Durk,,12567951,,
22/07/2021,922916881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI.,,16936151,,
22/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,417996,,
22/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,436784,,
22/07/2021,634533960,SOLVED THE PROBLEM,COMETHAZINE,,14253379,,
22/07/2021,312797091,From The D To The A feat. Lil Yachty,Tee Grizzley,,184927315,,
22/07/2021,1064620216,Polo G - Black Hearted,POLO G,,3436641,,
22/07/2021,855569809,HIM.,Jaywall,,15203525,,
22/07/2021,1072829350,NLE Choppa -  Letter To My Daughter,Rocknroll,,1206246,,
22/07/2021,1019246533,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,,6588005,,
22/07/2021,1055542654,T-wayne - Player,T-wayne,,2053317,,
22/07/2021,1060249351,"Lil Baby, Lil Durk - How It Feels",Lil Baby,,3033296,,
22/07/2021,878028175,Moonwalking in Calabasas (Remix) [feat. Blueface],DDG,,16197341,,
22/07/2021,763890439,Took Her To The O,King Von,,42960376,,
22/07/2021,1042589146,Lil Tecca - Never Left,Lil Tecca ?,,7321228,,
22/07/2021,1081335103,$ILKMONEY - MY POTNA DEM,jalele2Raww ?,,864123,,
22/07/2021,1052248927,Polo G & Lil Wayne - GANG GANG (with Lil Wayne),POLO G,,5888183,,
22/07/2021,952032571,Still Trappin' w/ King Von,Lil Durk,,17357416,,
22/07/2021,984680650,No Hoodie,Curly J,,4957111,,
22/07/2021,1003330801,Street Runner,Rod Wave,,14129190,,
22/07/2021,1010766649,MO3 & OG Bobby Billions - Outside,Mo3,,4130865,,
22/07/2021,1052668531,24 Hours (feat. Lil Durk),A BOOGIE WIT DA HOODIE,,3259354,,
22/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,480442,,
22/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,441423,,
22/07/2021,1048163956,good 4 u,Olivia Rodrigo,,6853903,,
22/07/2021,1009475770,Headshot,Lil Tjay,,14823499,,
22/07/2021,690770410,Bandit ft. NBA Youngboy,Juice WRLD,,133276782,,
22/07/2021,1084381669,Motley Crew,Post Malone,,644993,,
22/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,673622,,
22/07/2021,850506619,Pop Smoke - What You Know Bout Love,POP SMOKE,,41379197,,
22/07/2021,1052735683,Maybach (feat. Future),42 Dugg,,2272524,,
22/07/2021,783914911,"Rvssian, Lil Mosey, Lil Tjay - Only The Team (with Lil Mosey & Lil Tjay)",Rvssian,,27895814,,
22/07/2021,850507126,Pop Smoke - For The Night (feat. Lil Baby & DaBaby),POP SMOKE,,59192592,,
22/07/2021,339318387,XXXTENTACION - Fuck Love  (feat. Trippie Redd),XXXTENTACION,,277554861,,
22/07/2021,977984449,DUSTY LOCANE - ROLLIN N CONTROLLIN FREESTYLE (TikTok) I walk in the spot 30 on me and some chops,Reelaxxx,,4655022,,
22/07/2021,1077630940,Cry No More,G Herbo,,861416,,
22/07/2021,482681907,Lil Uzi Vert - Top,Trackaholics,,37834400,,
22/07/2021,229787464,Gassed Up,Nebu Kiniza,,164280412,,
22/07/2021,1060248796,"Lil Baby, Lil Durk - Okay",Lil Baby,,2180017,,
22/07/2021,920782135,Chanel Bag Prod. @geehues x @1yeezo,KILLBUNK (@killbunk),,9003841,,
22/07/2021,760419946,Me and My Guitar,A BOOGIE WIT DA HOODIE,,42037829,,
22/07/2021,579632454,NLE Choppa X White $osa-Hit The Scene(Official Audio),Str8Bangerz Hit's,,53438051,,
22/07/2021,969004966,NBA YoungBoy - Walk In The Rain,ABOVE ALL,,1160782,,
22/07/2021,646792641,"Clever - All In (feat. Polo G, G Herbo)",Clever,,15587557,,
22/07/2021,373181102,DARK PLACE (demo),Juice WRLD,,13795859,,
22/07/2021,1066159183,Thot Shit,Megan Thee Stallion,,1951488,,
22/07/2021,656255261,Pop Smoke - Dior,POP SMOKE,,73375728,,
22/07/2021,1066292437,Feelin' Peachy,Kodak Black,,1501210,,
22/07/2021,1007053408,Trendsetter (Prod. RAN),Yvng Tella,,4334784,,
22/07/2021,574858791,Robbery,Juice WRLD,,145201104,,
22/07/2021,973586695,Time Today,MoneyBagg Yo,,8375308,,
23/07/2021,1056306229,Touchable,Remble,,5634600,,
23/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2572201,,
23/07/2021,1026185437,2055,Sleepy Hallow,,8854601,,
23/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,42137037,,
