Date,ID,Title,Artist,ISRC,Rank,,
22/07/2021,1056306229,Touchable,Remble,,1,,
22/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,2,,
22/07/2021,1026185437,2055,Sleepy Hallow,,3,,
22/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,4,,
22/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,5,,
22/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,6,,
22/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,7,,
22/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,8,,
22/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,9,,
22/07/2021,1056690214,Tell Em,cochise,,10,,
22/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,11,,
22/07/2021,1034990764,Wockesha,MoneyBagg Yo,,12,,
22/07/2021,1044071974,Trippie Redd - Miss The Rage Ft. Playboi Carti,Trippie Redd,,13,,
22/07/2021,924613324,Back In Blood (feat. Lil Durk),Pooh Shiesty,,14,,
22/07/2021,928525519,Future & Lil Uzi Vert - Drankin N Smokin,Lil Uzi Vert,,15,,
22/07/2021,1061728813,Late At Night,Roddy Ricch,,16,,
22/07/2021,1020411538,4 Da Gang (with Roddy Ricch),42 Dugg,,17,,
22/07/2021,1068407101,Ball If I Want To,Baby Jesus (DaBaby),,18,,
22/07/2021,983561995,Calling My Phone (feat. 6lack),Lil Tjay,,19,,
22/07/2021,951579934,NBA YoungBoy - Nevada Unreleased,slatt shah,,20,,
22/07/2021,431054574,Gunna - Sold Out Dates Feat. Lil Baby [Prod. Turbo & Ghetto Guitar],DJ_Fly_Guy,,21,,
22/07/2021,877107568,Stunna2Fly - Wack Jumper Remix,Stunna2Fly,,22,,
22/07/2021,1067887690,DDG - ICarly Freestyle,D40,,23,,
22/07/2021,1075291135,Cabo,BANKROL HAYDEN,,24,,
22/07/2021,813327142,3 Headed Goat feat. Lil Baby and Polo G,Lil Durk,,25,,
22/07/2021,1032039724,Antisocial (feat. Slump6s) [prod. Maajins x CGM],BabySantana,,26,,
22/07/2021,1060725346,"Lil Baby, Lil Durk, Meek Mill - Still Runnin",Lil Baby,,27,,
22/07/2021,1026522937,Young Thug - SKII Ft. Gunna (Prod. Wheezy) (Official Audio),Tre Savage ?,,28,,
22/07/2021,1013619421,Tombstone,Rod Wave,,29,,
22/07/2021,661036613,Knock Knock (prod+ Lil Tecca),SoFaygo,,30,,
22/07/2021,1082729113,Funk Flex - Lurkin Remix (Feat. King Von & Polo G) [Unreleased],LeakWrld,,31,,
22/07/2021,1060725400,"Lil Baby, Lil Durk, Travis Scott - Hats Off",Lil Baby,,32,,
22/07/2021,1064620738,Polo G - Toxic,POLO G,,33,,
22/07/2021,816595933,Polo G - Martin & Gina,POLO G,,34,,
22/07/2021,743999932,9 Times Out Of 10 (feat. Lil Baby),Big Havi,,35,,
22/07/2021,1074518497,"Tyler, The Creator feat. YoungBoy Never Broke Again and Ty Dolla $ign - WUSYANAME","Tyler, The Creator",,36,,
22/07/2021,729604123,\,LUCKY3RD,,37,,
22/07/2021,937006552,Lil Baby - On Me,Lil Baby,,38,,
22/07/2021,1052667649,"Switch it Up (feat. G Herbo, No More Heroes)",Pooh Shiesty,,39,,
22/07/2021,1056040759,ft OGbobbybillions \,blueface,,40,,
22/07/2021,1035859378,Final Warning,NLE Choppa,,41,,
22/07/2021,1064621482,Polo G feat. The Kid LAROI & Lil Durk - No Return,POLO G,,42,,
22/07/2021,959517559,GYALIS - CAPELLA GREY (prod. by CAPELLA GREY),Allepac Family,,43,,
22/07/2021,1019737993,Spinabenz x Yungeen Ace x FastMoney Goon x Whoppa Wit Da Choppa - Who I Smoke,Yungeen Ace,,44,,
22/07/2021,1048532914,White Teeth,YoungBoy Never Broke Again,,45,,
22/07/2021,975542488,Pain,pinkpantheress,,46,,
22/07/2021,373180994,All Girls Are The Same,Juice WRLD,,47,,
22/07/2021,840323260,CEO Trayle - Ok Cool (Prod. by Rudynovski),Q.,,48,,
22/07/2021,998923204,Only The Family & Lil Durk - Hellcats & Trackhawks,Lil Durk,,49,,
22/07/2021,922916881,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI.,,50,,
22/07/2021,1087179412,Slow Motion Freestyle,Isaiah Rashad,,51,,
22/07/2021,1084311661,Gossip ft. Too $hort (Prod. Uce Lee),Rob $TONE,,52,,
22/07/2021,634533960,SOLVED THE PROBLEM,COMETHAZINE,,53,,
22/07/2021,312797091,From The D To The A feat. Lil Yachty,Tee Grizzley,,54,,
22/07/2021,1064620216,Polo G - Black Hearted,POLO G,,55,,
22/07/2021,855569809,HIM.,Jaywall,,56,,
22/07/2021,1072829350,NLE Choppa -  Letter To My Daughter,Rocknroll,,57,,
22/07/2021,1019246533,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,,58,,
22/07/2021,1055542654,T-wayne - Player,T-wayne,,59,,
22/07/2021,1060249351,"Lil Baby, Lil Durk - How It Feels",Lil Baby,,60,,
22/07/2021,878028175,Moonwalking in Calabasas (Remix) [feat. Blueface],DDG,,61,,
22/07/2021,763890439,Took Her To The O,King Von,,62,,
22/07/2021,1042589146,Lil Tecca - Never Left,Lil Tecca ?,,63,,
22/07/2021,1081335103,$ILKMONEY - MY POTNA DEM,jalele2Raww ?,,64,,
22/07/2021,1052248927,Polo G & Lil Wayne - GANG GANG (with Lil Wayne),POLO G,,65,,
22/07/2021,952032571,Still Trappin' w/ King Von,Lil Durk,,66,,
22/07/2021,984680650,No Hoodie,Curly J,,67,,
22/07/2021,1003330801,Street Runner,Rod Wave,,68,,
22/07/2021,1010766649,MO3 & OG Bobby Billions - Outside,Mo3,,69,,
22/07/2021,1052668531,24 Hours (feat. Lil Durk),A BOOGIE WIT DA HOODIE,,70,,
22/07/2021,1088501041,Pop Smoke - Bout A Million (feat. 21 Savage & 42 Dugg),POP SMOKE,,71,,
22/07/2021,1088499106,Pop Smoke - 30 (feat. Bizzy Banks),POP SMOKE,,72,,
22/07/2021,1048163956,good 4 u,Olivia Rodrigo,,73,,
22/07/2021,1009475770,Headshot,Lil Tjay,,74,,
22/07/2021,690770410,Bandit ft. NBA Youngboy,Juice WRLD,,75,,
22/07/2021,1084381669,Motley Crew,Post Malone,,76,,
22/07/2021,1084815142,Prada Remix (feat. Lil Tecca) [VIDEO IN DESC],BabySantana,,77,,
22/07/2021,850506619,Pop Smoke - What You Know Bout Love,POP SMOKE,,78,,
22/07/2021,1052735683,Maybach (feat. Future),42 Dugg,,79,,
22/07/2021,783914911,"Rvssian, Lil Mosey, Lil Tjay - Only The Team (with Lil Mosey & Lil Tjay)",Rvssian,,80,,
22/07/2021,850507126,Pop Smoke - For The Night (feat. Lil Baby & DaBaby),POP SMOKE,,81,,
22/07/2021,339318387,XXXTENTACION - Fuck Love  (feat. Trippie Redd),XXXTENTACION,,82,,
22/07/2021,977984449,DUSTY LOCANE - ROLLIN N CONTROLLIN FREESTYLE (TikTok) I walk in the spot 30 on me and some chops,Reelaxxx,,83,,
22/07/2021,1077630940,Cry No More,G Herbo,,84,,
22/07/2021,482681907,Lil Uzi Vert - Top,Trackaholics,,85,,
22/07/2021,229787464,Gassed Up,Nebu Kiniza,,86,,
22/07/2021,1060248796,"Lil Baby, Lil Durk - Okay",Lil Baby,,87,,
22/07/2021,920782135,Chanel Bag Prod. @geehues x @1yeezo,KILLBUNK (@killbunk),,88,,
22/07/2021,760419946,Me and My Guitar,A BOOGIE WIT DA HOODIE,,89,,
22/07/2021,579632454,NLE Choppa X White $osa-Hit The Scene(Official Audio),Str8Bangerz Hit's,,90,,
22/07/2021,969004966,NBA YoungBoy - Walk In The Rain,ABOVE ALL,,91,,
22/07/2021,646792641,"Clever - All In (feat. Polo G, G Herbo)",Clever,,92,,
22/07/2021,373181102,DARK PLACE (demo),Juice WRLD,,93,,
22/07/2021,1066159183,Thot Shit,Megan Thee Stallion,,94,,
22/07/2021,656255261,Pop Smoke - Dior,POP SMOKE,,95,,
22/07/2021,1066292437,Feelin' Peachy,Kodak Black,,96,,
22/07/2021,1007053408,Trendsetter (Prod. RAN),Yvng Tella,,97,,
22/07/2021,574858791,Robbery,Juice WRLD,,98,,
22/07/2021,973586695,Time Today,MoneyBagg Yo,,99,,
23/07/2021,1056306229,Touchable,Remble,,1,,
23/07/2021,1082723470,Stay (with Justin Bieber),The Kid LAROI.,,4,,
23/07/2021,1026185437,2055,Sleepy Hallow,,3,,
23/07/2021,1023058027,Polo G - RAPSTAR,POLO G,,5,,
23/07/2021,1088333137,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,,2,,
23/07/2021,1039539274,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,,6,,
23/07/2021,1071204931,Ed Sheeran - Bad Habits,Ed Sheeran,,11,,
23/07/2021,1083383002,Nevada,YoungBoy Never Broke Again,,7,,
23/07/2021,999006520,Drake - Wants and Needs (feat. Lil Baby),octobersveryown,,8,,
23/07/2021,1056690214,Tell Em,cochise,,9,,
23/07/2021,1073156011,Red Light Green Light,Baby Jesus (DaBaby),,10,,
23/07/2021,1034990764,Wockesha,MoneyBagg Yo,,13,,
